Day,HomeTeam,AwayTeam,Weight
69,29,21,0.30802749999999995
69,18,22,0.35049699999999995
69,28,23,0.41820209999999997
69,25,26,0.19917769999999999
70,25,19,0.057405
70,9,22,0.058485
70,30,28,0.081787
70,4,29,0.023344
71,5,2,1.719837
71,18,3,1.1160156
71,1,6,0.7722498000000001
71,13,10,2.1324870000000002
71,24,11,1.1133612
71,8,12,0.8794506
71,20,14,2.8426565999999998
71,16,17,0.9887808
71,23,21,1.0927266
71,7,27,1.1835684
72,18,2,2.0220059999999997
72,6,5,1.437324
72,16,7,1.43181675
72,26,8,1.067703
72,12,10,2.164071
72,20,11,1.8053700000000001
72,23,13,1.6103745
72,3,14,2.9648535
72,17,21,1.36668
72,27,24,1.48121925
73,1,4,0.099862
73,25,19,0.080367
73,15,29,0.0847714
73,22,30,0.0910644
74,28,2,0.7032088999999999
74,7,5,0.7429437
74,3,6,0.613226
74,21,8,0.5942257
74,24,10,1.1792238
74,27,11,0.4547766999999999
74,16,13,0.6166093
74,18,14,1.2593604
74,17,20,0.8984927
74,23,26,0.4719255
75,12,4,0.225875
75,19,9,0.180414
75,30,15,0.22557080000000002
75,28,22,0.189774
75,1,25,0.20039500000000002
75,26,29,0.2052388
76,23,2,0.9150297
76,15,3,0.4399624
76,1,6,0.42289869999999996
76,5,7,0.7429437
76,20,10,1.36045
76,21,11,0.49116499999999996
76,27,13,0.6374818
76,18,14,1.2593604
76,16,17,0.5414751999999999
76,8,24,0.7127584999999999
77,22,9,0.058485
77,29,19,0.049743
77,28,25,0.063241
77,4,30,0.049552
78,9,4,0.0515892
78,22,8,0.1959264
78,13,25,0.22578120000000002
78,14,29,0.5207952
79,17,1,0.2937135
79,23,7,0.4670595
79,11,10,0.642447
79,2,16,0.538788
79,3,20,0.592488
79,18,21,0.37121550000000003
79,12,24,0.3734865
79,6,26,0.290088
79,5,27,0.38399549999999993
80,15,8,0.2589776
80,13,9,0.2801904
80,19,28,0.11745299999999999
80,14,30,0.6442842
81,28,1,0.2382018
81,21,4,0.31243429999999994
81,26,9,0.2267432
81,18,11,0.49359149999999996
81,12,15,0.2853863
81,22,16,0.29080969999999995
81,19,17,0.40511739999999996
81,10,25,0.8195705
81,7,29,0.4257898
81,6,30,0.372807
82,14,3,1.4683084
82,12,5,0.5794152
82,13,7,0.8948888
82,23,8,0.7074860000000001
82,24,11,0.6892236
82,6,16,0.5810584
82,10,17,1.2351768
82,27,18,0.6023056
82,21,20,0.9795552
82,2,26,0.8556625999999999
83,23,1,0.4500226
83,9,2,0.6698474
83,30,5,0.42671669999999995
83,25,8,0.35310519999999995
83,15,14,1.0881713999999998
83,27,19,0.33676369999999994
83,20,22,0.6478295
83,13,24,0.7924029
83,3,28,0.4285291
84,16,4,0.110945
84,25,11,0.108714
84,29,12,0.084959
84,26,22,0.096347
85,1,9,0.106872
85,29,15,0.0726612
85,4,28,0.06899519999999999
85,19,30,0.0911412
86,24,3,0.47429699999999997
86,16,5,0.370383
86,2,6,0.5790690000000001
86,27,8,0.363807
86,17,12,0.3170295
86,11,14,0.7704314999999999
86,13,18,0.44106300000000004
86,10,21,0.691755
86,20,23,0.585753
86,7,26,0.3639525
87,4,9,0.060187399999999995
87,25,15,0.09549679999999999
87,28,22,0.102186
87,1,29,0.0971796
88,2,3,0.9253566999999999
88,12,6,0.4586499
88,7,8,0.711988
88,13,10,1.1677905
88,27,11,0.4547766999999999
88,23,14,1.2885611999999997
88,24,16,0.6280426
88,5,17,0.6571468
88,21,18,0.5691971
88,26,20,0.7400572
89,15,3,0.49734880000000004
89,2,5,1.064661
89,19,6,0.42691480000000004
89,18,7,0.7765628
89,20,8,1.0105914
89,27,14,1.3797472000000002
89,10,17,1.2351768
89,28,21,0.4370002
89,1,23,0.5087212
89,13,24,0.8957598000000001
90,22,1,0.1996952
90,11,4,0.2368287
90,15,19,0.20438949999999997
90,12,25,0.21302599999999997
90,9,26,0.2267432
90,30,28,0.18811009999999997
90,16,29,0.2507667
91,2,5,1.4331975
91,18,6,0.8730224999999999
91,13,7,1.204658
91,26,8,0.711802
91,23,11,0.7955535
91,10,12,1.442714
91,17,14,1.9613684999999998
91,3,16,0.8391845
91,27,20,1.2632585
91,24,21,1.042853
92,9,1,0.106872
92,28,22,0.087588
92,4,25,0.037207199999999996
92,15,29,0.0726612
93,26,3,0.3145125
93,17,7,0.46728000000000003
93,6,10,0.694692
93,21,11,0.32032499999999997
93,8,13,0.45738599999999996
93,5,14,0.8578334999999999
93,18,19,0.2449425
93,20,23,0.585753
93,2,24,0.653436
94,28,12,0.16675399999999999
94,15,16,0.2074114
94,29,27,0.16534559999999998
94,1,30,0.1338694
95,9,2,0.6698474
95,7,4,0.4301966
95,19,6,0.3776554
95,22,8,0.37552559999999996
95,1,10,0.9123156999999998
95,30,14,1.0584668999999998
95,3,15,0.4399624
95,25,26,0.19917769999999999
95,11,28,0.31097149999999996
95,5,29,0.36643829999999994
96,17,2,1.0347636
96,16,3,0.6233942
96,5,6,0.7118176
96,27,7,0.7326852
96,23,10,1.2347946
96,24,11,0.6892236
96,13,14,1.5419508
96,18,20,0.9822982
96,12,21,0.5133856
96,8,26,0.5287672
97,18,1,0.42082179999999997
97,13,15,0.5051076
97,28,17,0.4185402
97,4,20,0.6121932999999999
97,12,22,0.23544869999999998
97,19,23,0.4047793
97,24,25,0.4441805999999999
97,9,27,0.316825
97,21,29,0.30802749999999995
97,16,30,0.31104279999999995
98,9,4,0.042991
98,25,11,0.108714
98,22,19,0.067153
98,5,26,0.21683
99,21,2,0.46090559999999997
99,13,3,0.3734724
99,17,6,0.31473239999999997
99,16,30,0.1622832
100,22,5,0.2650965
100,18,9,0.2319405
100,23,12,0.316809
100,1,14,0.7229730000000001
100,8,19,0.2612655
100,4,20,0.3992565
100,26,24,0.364455
100,11,27,0.29659349999999995
100,7,28,0.3289155
100,10,29,0.5230095
101,6,3,0.373268
101,16,15,0.2074114
101,13,17,0.42963759999999995
101,2,21,0.5377232
102,4,5,0.3708450999999999
102,9,12,0.24059149999999999
102,10,14,1.7508542999999996
102,18,15,0.4004369
102,19,20,0.6729109999999999
102,1,22,0.1996952
102,30,24,0.48683639999999995
102,25,26,0.19917769999999999
102,23,28,0.41820209999999997
102,27,29,0.27163919999999997
103,3,2,1.0460554
103,8,6,0.6768242000000001
103,26,7,0.6308509999999999
103,10,11,1.1135748
103,5,13,0.8277958000000001
103,21,16,0.5759676
103,12,17,0.5495178000000001
103,20,18,0.9822982
103,14,23,1.4566344
103,24,27,0.7335562000000001
104,25,2,0.6422818999999999
104,22,3,0.3900248
104,15,7,0.5157704
104,21,8,0.5942257
104,16,9,0.2959525
104,1,13,0.5254948
104,4,17,0.3443997
104,28,19,0.19295849999999998
104,6,29,0.3125309
104,11,30,0.292698
105,22,4,0.040754
105,28,9,0.075226
105,29,19,0.049743
105,30,25,0.055297
106,1,2,0.3834924
106,10,15,0.465354
106,7,24,0.4189896
106,18,27,0.2779872
107,26,1,0.1903845
107,23,3,0.41761950000000003
107,25,5,0.250473
107,12,6,0.2991195
107,17,9,0.2512035
107,14,11,0.7704314999999999
107,15,13,0.329418
107,16,21,0.332289
107,20,28,0.44760900000000003
107,8,29,0.218793
108,27,2,0.5155738
108,19,10,0.5277831999999999
108,24,18,0.41861819999999994
108,7,30,0.29586619999999997
109,30,1,0.21992829999999997
109,11,4,0.2368287
109,9,5,0.41162639999999995
109,25,12,0.21302599999999997
109,28,16,0.3293163
109,26,19,0.24668189999999998
109,17,22,0.3800358999999999
109,15,23,0.42963539999999995
109,14,29,0.9981907999999999
110,3,5,0.7541534000000001
110,20,6,0.9846434000000001
110,7,8,0.804856
110,11,13,0.676299
110,12,14,1.2935702
110,21,17,0.676832
110,2,18,1.0013744
110,16,23,0.6117201999999999
110,10,26,1.0560758000000001
110,24,27,0.7335562000000001
111,3,1,0.46034959999999997
111,22,2,0.6647045999999999
111,30,6,0.372807
111,7,8,0.711988
111,24,9,0.4717461
111,28,10,0.8804975
111,21,13,0.6738700999999999
111,27,15,0.3616198
111,25,18,0.32807659999999994
111,19,20,0.6729109999999999
112,4,9,0.042991
112,22,16,0.126439
112,11,25,0.108714
112,12,29,0.084959
113,1,4,0.085596
113,19,15,0.106638
113,29,26,0.0947256
113,30,28,0.09814439999999999
114,13,2,0.6459795
114,17,3,0.41784
114,21,6,0.37256999999999996
114,16,7,0.4090905
114,5,10,0.729849
114,8,14,0.837645
114,11,18,0.3219075
114,30,20,0.435693
114,12,23,0.316809
114,26,24,0.364455
115,12,3,0.3019744
115,21,5,0.3805452
115,24,6,0.41988099999999995
115,1,7,0.3263568
115,13,8,0.42689359999999993
115,10,11,0.5996172
115,2,14,0.9578225999999999
115,18,16,0.3116134
115,27,17,0.34229719999999997
115,23,20,0.5467027999999999
121,20,3,0.592488
121,17,6,0.3934155
121,27,8,0.363807
121,23,9,0.250983
121,4,10,0.5258835
121,5,11,0.358419
121,24,14,0.8970435000000001
121,13,18,0.44106300000000004
121,7,21,0.44643450000000007
121,2,28,0.4586145
122,29,1,0.0971796
122,26,12,0.1994552
122,19,15,0.124411
122,16,30,0.18933039999999998
123,21,1,0.41839529999999997
123,9,2,0.6698474
123,8,4,0.33988939999999995
123,19,7,0.49091429999999997
123,5,11,0.5495758
123,30,13,0.47540309999999997
123,27,15,0.3616198
123,22,17,0.3800358999999999
123,28,24,0.5051076
123,20,25,0.6254067999999999
124,8,2,1.0296676
124,6,3,0.693212
124,23,5,0.7424794000000001
124,10,7,1.3321646
124,26,13,0.6187973999999999
124,14,16,1.3561522
124,12,17,0.5495178000000001
124,11,20,0.8940880000000001
124,27,21,0.5995626000000001
124,18,24,0.7774338
125,14,1,1.1085586
125,3,4,0.35438859999999994
125,9,6,0.3577167
125,16,19,0.3158912
125,22,23,0.3796978
125,18,25,0.32807659999999994
125,15,26,0.271538
125,10,28,0.8804975
125,12,30,0.25568179999999996
126,25,9,0.048736
126,22,11,0.118463
126,4,28,0.057496
126,27,29,0.118104
127,20,6,0.4544508
127,13,17,0.3682608
127,30,21,0.19215839999999998
127,24,23,0.3740496
128,9,2,0.436857
128,18,4,0.20534399999999997
128,14,10,1.1418614999999999
128,3,12,0.323544
128,11,15,0.2102625
128,19,16,0.20601599999999998
128,5,25,0.250473
128,7,26,0.3639525
128,1,27,0.249135
128,8,29,0.218793
129,20,6,0.5301926
129,21,13,0.4101818
129,23,17,0.38369799999999993
129,28,24,0.3074568
130,28,1,0.2382018
130,30,3,0.41025789999999995
130,16,4,0.2551735
130,12,9,0.24059149999999999
130,11,10,0.9850854
130,25,14,1.0158111
130,8,15,0.4254632
130,7,19,0.49091429999999997
130,2,22,0.6647045999999999
130,18,29,0.31045629999999996
131,3,2,1.0460554
131,20,5,1.0455848
131,10,8,1.2300782000000001
131,18,12,0.5161286
131,7,14,1.5540044
131,6,16,0.5810584
131,26,17,0.5338632
131,11,21,0.55523
131,23,24,0.8104408
131,13,27,0.7206316
132,20,1,0.7181542999999999
132,30,6,0.372807
132,13,15,0.5051076
132,9,17,0.3851787
132,25,21,0.32564779999999993
132,26,22,0.2215981
